ori,des,path,len,primary,secondary,tertiary,residential,unclassified
317,32,317_315_303_272_306_387_398_386_91_85_312_348_83_77_75_308_235_230_32,19,17,0,0,2,0
91,365,91_85_312_348_83_78_49_365,8,5,3,0,0,0
50,279,50_20_23_73_22_329_89_279,8,1,7,0,0,0
244,373,244_34_33_31_358_40_50_19_24_350_311_79_81_117_299_383_273_271_373,19,15,3,0,0,1
184,23,184_178_188_189_210_201_233_244_34_33_31_358_40_50_20_23,16,13,2,1,0,0
356,80,356_19_24_350_311_79_80,7,6,1,0,0,0
356,404,356_19_24_350_311_79_81_117_300_389_388_404,12,12,0,0,0,0
356,259,356_19_24_350_311_79_81_117_299_383_274_265_263_260_259,15,14,0,0,0,1
356,80,356_20_23_73_21_84_80,7,1,6,0,0,0
356,258,356_19_24_350_311_79_81_117_299_383_274_265_263_260_259_258,16,14,0,1,0,1
358,323,358_40_50_20_23_73_22_329_89_279_323,11,3,7,0,1,0
244,323,244_34_33_31_358_40_50_20_23_73_22_329_89_279_323,15,7,7,0,1,0
34,311,34_33_31_358_40_50_19_24_350_311,10,10,0,0,0,0
34,279,34_33_31_358_40_50_20_23_73_22_329_89_279,13,6,7,0,0,0
40,279,40_50_20_23_73_22_329_89_279,9,2,7,0,0,0
358,279,358_40_50_20_23_73_22_329_89_279,10,3,7,0,0,0
358,279,358_40_50_20_23_73_22_329_89_279,10,3,7,0,0,0
40,22,40_50_20_23_73_22,6,2,4,0,0,0
40,323,40_50_20_23_73_22_329_89_279_323,10,2,7,0,1,0
50,118,50_20_23_73_21_84_80_118,8,1,7,0,0,0
40,323,40_50_20_23_73_22_329_89_279_323,10,2,7,0,1,0
50,279,50_20_23_73_22_329_89_279,8,1,7,0,0,0
50,404,50_20_23_73_21_84_81_117_300_389_388_404,12,7,5,0,0,0
19,259,19_24_350_311_79_81_117_299_383_274_265_263_260_259,14,13,0,0,0,1
19,271,19_24_350_311_79_81_117_299_383_273_271,11,8,2,0,0,1
19,258,19_24_350_311_79_81_117_299_383_274_265_263_260_259_258,15,13,0,1,0,1
19,373,19_24_350_311_79_81_117_299_383_273_271_373,12,8,3,0,0,1
19,258,19_24_350_311_79_81_117_299_383_274_265_263_260_259_258,15,13,0,1,0,1
50,373,50_19_24_350_311_79_80_118_124_116_276_273_271_373,14,6,8,0,0,0
50,279,50_20_23_73_22_329_89_279,8,1,7,0,0,0
356,373,356_19_24_350_311_79_80_118_124_116_276_273_271_373,14,6,8,0,0,0
19,373,19_24_350_311_79_81_117_299_383_273_271_373,12,8,3,0,0,1
124,404,124_116_276_273_272_305_404,7,2,4,0,0,1
180,255,180_418_249_165_174_255,6,0,4,0,2,0
180,393,180_418_249_165_175_160_168_167_393,9,0,9,0,0,0
180,393,180_418_249_165_175_160_168_167_393,9,0,9,0,0,0
183,393,183_180_418_249_165_175_160_168_167_393,10,0,10,0,0,0
333,335,333_223_180_418_250_335,6,0,2,1,3,0
292,256,292_194_181_313_183_180_418_249_164_256,10,0,7,2,1,0
243,393,243_236_401_285_199_207_146_147_149_225_152_153_154_156_165_175_160_168_167_393,20,11,6,3,0,0
180,393,180_418_249_165_175_160_168_167_393,9,0,9,0,0,0
180,393,180_418_249_165_175_160_168_167_393,9,0,9,0,0,0
180,393,180_418_249_165_175_160_168_167_393,9,0,9,0,0,0
91,155,91_85_312_348_83_77_75_308_235_231_232_199_207_146_147_149_225_152_153_155,20,20,0,0,0,0
85,147,85_312_348_83_77_75_308_235_231_232_199_207_146_147,14,14,0,0,0,0
85,155,85_312_348_83_77_75_308_235_231_232_199_207_146_147_149_225_152_153_155,19,19,0,0,0,0
16,155,16_236_401_285_199_207_146_147_149_225_152_153_155,13,11,0,2,0,0
317,89,317_315_303_272_306_387_398_386_90_89,10,8,2,0,0,0
317,404,317_315_303_272_305_404,6,5,0,0,0,1
414,202,414_248_411_413_185_222_213_295_202,9,0,9,0,0,0
